ID Site;72305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nom Site;France - Lyon - The Grand Large;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Modele;WG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heure mise a jour;17.07. 09:50 CEST;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heures;Je17.08h;Je17.10h;Je17.12h;Je17.14h;Je17.16h;Je17.18h;Je17.20h;Je17.22h;Ve18.03h;Ve18.05h;Ve18.07h;Ve18.09h;Ve18.11h;Ve18.13h;Ve18.15h;Ve18.17h;Ve18.19h;Ve18.21h;Sa19.03h;Sa19.05h;Sa19.07h;Sa19.09h;Sa19.11h;Sa19.13h;Sa19.15h;Sa19.17h;Sa19.19h;Sa19.21h;Di20.03h;Di20.05h;Di20.07h;Di20.09h;Di20.11h;Di20.13h;Di20.15h;Di20.17h;Di20.19h;Lu21.05h;Lu21.07h;Lu21.09h;Lu21.11h;Lu21.13h;Lu21.15h;Lu21.17h;Lu21.19h;Ma22.05h;Ma22.07h;Ma22.09h;Ma22.11h;Ma22.13h;Ma22.15h;Ma22.17h;Ma22.19h;Me23.05h;Me23.08h;Me23.11h;Me23.14h;Me23.17h;Me23.20h;Je24.05h;Je24.08h;Je24.11h;Je24.14h;Je24.17h;Je24.20h;Ve25.05h;Ve25.08h;Ve25.11h;Ve25.14h;Ve25.17h;Ve25.20h;Sa26.05h;Sa26.08h;Sa26.11h;Sa26.14h;Sa26.17h;Sa26.20h;Di27.05h;Di27.08h;Di27.11h;Di27.14h;Di27.17h;Di27.20h;Lu28.05h;Lu28.08h;Lu28.11h;Lu28.14h;Lu28.17h;Lu28.20h;Ma29.05h;Ma29.08h;Ma29.11h;Ma29.14h;Ma29.17h;Ma29.20h;Me30.05h;Me30.08h;Me30.11h;Me30.14h;Me30.17h;Me30.20h;Je31.05h;Je31.08h;Je31.11h;Je31.14h;Je31.17h;Je31.20h;Ve1.05h;Ve1.08h;Ve1.11h;Ve1.14h;Ve1.17h;Ve1.20h
Modele;AROME 1.3km;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heure mise a jour;17.07. 09:50 CEST;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heures;Je17.06h;Je17.07h;Je17.08h;Je17.09h;Je17.10h;Je17.11h;Je17.12h;Je17.13h;Je17.14h;Je17.15h;Je17.16h;Je17.17h;Je17.18h;Je17.19h;Je17.20h;Je17.21h;Je17.22h;Ve18.03h;Ve18.04h;Ve18.05h;Ve18.06h;Ve18.07h;Ve18.08h;Ve18.09h;Ve18.10h;Ve18.11h;Ve18.12h;Ve18.13h;Ve18.14h;Ve18.15h;Ve18.16h;Ve18.17h;Ve18.18h;Ve18.19h;Ve18.20h;Ve18.21h;Ve18.22h;Sa19.03h;Sa19.04h;Sa19.05h;Sa19.06h;Sa19.07h;Sa19.08h
Vent (noeuds);3;5;6;8;8;8;8;9;9;10;10;10;10;10;9;7;5;2;1;1;2;2;2;3;3;2;4;4;3;3;3;2;3;5;4;4;3;9;8;7;8;11;4
Rafales (noeuds);7;8;11;14;14;14;15;16;17;18;18;18;17;17;17;15;12;3;3;3;4;5;3;7;7;6;10;10;17;8;7;8;7;9;9;7;7;14;15;13;12;17;30
Direction du vent (degres);11;26;5;6;359;2;2;355;354;358;359;358;6;16;32;33;9;24;303;70;19;61;332;68;342;324;358;15;32;291;315;326;11;18;10;19;16;186;170;171;173;173;352
Temperature (C);21;21;22;22;23;23;24;25;26;27;28;28;29;28;28;27;25;21;20;21;20;19;20;21;23;25;28;29;29;30;30;30;31;31;31;30;28;26;26;26;25;25;22
Nuages Haut (%);;;;;;;;;;;;;;;;;;100;100;100;;;;54;7;;;21;100;100;100;100;;;;;31;;;;64;100;100
Nuages Moyen (%);25;28;;;;;;;;;;;;;;;;;;;;;;25;5;;;7;100;13;;;;;;;;;;;;100;100
Nuages Bas (%);42;100;100;97;40;96;39;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Precipitations (mm/1h);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.6
Note Windguru;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
